ifo_freq,t1,t2,t3,time
L1_f1,0.0,0.0,0.0,1325227382
L1_f2,0.0,0.0,0.0,1325227382
L1_f3,0.0,0.0,0.0,1325227382
H1_f1,0.0,0.0,0.0,1325227382
H1_f2,0.0,0.0,0.0,1325227382
H1_f3,0.0,0.0,0.0,1325227382
L1_f1,0.0,0.0,0.0,1324633571
L1_f2,0.0,0.0,0.0,1324633571
L1_f3,0.0,0.0,0.0,1324633571
H1_f1,0.0,0.0,0.0,1324633571
H1_f2,0.0,0.0,0.0,1324633571
H1_f3,0.0,0.0,0.0,1324633571
L1_f1,0.3,0.2,0.1,1323034209
L1_f2,0.0,0.0,0.0,1323034209
L1_f3,0.0,0.0,0.0,1323034209
H1_f1,0.0,0.0,0.0,1323034209
H1_f2,0.0,0.0,0.0,1323034209
H1_f3,0.0,0.0,0.0,1323034209
L1_f1,0.0,0.0,0.0,1324321919
L1_f2,0.0,0.0,0.0,1324321919
L1_f3,0.0,0.0,0.0,1324321919
H1_f1,0.0,0.0,0.0,1324321919
H1_f2,0.0,0.0,0.0,1324321919
H1_f3,0.0,0.0,0.0,1324321919
L1_f1,0.0,0.0,0.0,1324606889
L1_f2,0.0,0.0,0.0,1324606889
L1_f3,0.0,0.0,0.0,1324606889
H1_f1,0.0,0.0,0.0,1324606889
H1_f2,0.0,0.0,0.0,1324606889
H1_f3,0.0,0.0,0.0,1324606889
L1_f1,0.4,0.2,0.1,1325010430
L1_f2,0.0,0.0,0.0,1325010430
L1_f3,0.0,0.0,0.0,1325010430
H1_f1,0.0,0.0,0.0,1325010430
H1_f2,0.0,0.0,0.0,1325010430
H1_f3,0.0,0.0,0.0,1325010430
L1_f1,0.0,0.0,0.0,1323635009
L1_f2,0.0,0.0,0.0,1323635009
L1_f3,0.0,0.0,0.0,1323635009
H1_f1,0.0,0.0,0.0,1323635009
H1_f2,0.0,0.0,0.0,1323635009
H1_f3,0.0,0.0,0.0,1323635009
L1_f1,0.0,0.0,0.0,1325909957
L1_f2,0.0,0.0,0.0,1325909957
L1_f3,0.0,0.0,0.0,1325909957
H1_f1,0.0,0.0,0.0,1325909957
H1_f2,0.0,0.0,0.0,1325909957
H1_f3,0.0,0.0,0.0,1325909957
L1_f1,0.3,0.1,0.1,1325824807
L1_f2,0.0,0.0,0.0,1325824807
L1_f3,0.0,0.0,0.0,1325824807
H1_f1,0.0,0.0,0.0,1325824807
H1_f2,0.0,0.0,0.0,1325824807
H1_f3,0.0,0.0,0.0,1325824807
L1_f1,1.1,0.6,0.3,1323158980
L1_f2,0.0,0.0,0.0,1323158980
L1_f3,0.0,0.0,0.0,1323158980
H1_f1,0.6,0.3,0.1,1323158980
H1_f2,0.0,0.0,0.0,1323158980
H1_f3,0.0,0.0,0.0,1323158980
L1_f1,1.0,0.5,0.2,1322955837
L1_f2,0.0,0.0,0.0,1322955837
L1_f3,0.0,0.0,0.0,1322955837
H1_f1,0.0,0.0,0.0,1322955837
H1_f2,0.0,0.0,0.0,1322955837
H1_f3,0.0,0.0,0.0,1322955837
L1_f1,0.0,0.0,0.0,1325471448
L1_f2,0.0,0.0,0.0,1325471448
L1_f3,0.0,0.0,0.0,1325471448
H1_f1,0.0,0.0,0.0,1325471448
H1_f2,0.0,0.0,0.0,1325471448
H1_f3,0.0,0.0,0.0,1325471448
L1_f1,0.3,0.2,0.1,1325737900
L1_f2,0.0,0.0,0.0,1325737900
L1_f3,0.0,0.0,0.0,1325737900
H1_f1,0.1,0.0,0.0,1325737900
H1_f2,0.0,0.0,0.0,1325737900
H1_f3,0.0,0.0,0.0,1325737900
L1_f1,0.0,0.0,0.0,1323417219
L1_f2,0.0,0.0,0.0,1323417219
L1_f3,0.0,0.0,0.0,1323417219
H1_f1,0.0,0.0,0.0,1323417219
H1_f2,0.0,0.0,0.0,1323417219
H1_f3,0.0,0.0,0.0,1323417219
L1_f1,0.0,0.0,0.0,1322973932
L1_f2,0.0,0.0,0.0,1322973932
L1_f3,0.0,0.0,0.0,1322973932
H1_f1,0.0,0.0,0.0,1322973932
H1_f2,0.0,0.0,0.0,1322973932
H1_f3,0.0,0.0,0.0,1322973932
L1_f1,0.0,0.0,0.0,1324909244
L1_f2,0.0,0.0,0.0,1324909244
L1_f3,0.0,0.0,0.0,1324909244
H1_f1,0.0,0.0,0.0,1324909244
H1_f2,0.0,0.0,0.0,1324909244
H1_f3,0.0,0.0,0.0,1324909244
L1_f1,0.0,0.0,0.0,1325037988
L1_f2,0.0,0.0,0.0,1325037988
L1_f3,0.0,0.0,0.0,1325037988
H1_f1,0.0,0.0,0.0,1325037988
H1_f2,0.0,0.0,0.0,1325037988
H1_f3,0.0,0.0,0.0,1325037988
L1_f1,0.0,0.0,0.0,1322982433
L1_f2,0.0,0.0,0.0,1322982433
L1_f3,0.0,0.0,0.0,1322982433
H1_f1,0.0,0.0,0.0,1322982433
H1_f2,0.0,0.0,0.0,1322982433
H1_f3,0.0,0.0,0.0,1322982433
L1_f1,0.0,0.0,0.0,1324886288
L1_f2,0.0,0.0,0.0,1324886288
L1_f3,0.0,0.0,0.0,1324886288
H1_f1,0.0,0.0,0.0,1324886288
H1_f2,0.0,0.0,0.0,1324886288
H1_f3,0.0,0.0,0.0,1324886288
L1_f1,0.0,0.0,0.0,1325538493
L1_f2,0.0,0.0,0.0,1325538493
L1_f3,0.0,0.0,0.0,1325538493
H1_f1,0.0,0.0,0.0,1325538493
H1_f2,0.0,0.0,0.0,1325538493
H1_f3,0.0,0.0,0.0,1325538493
L1_f1,0.6,0.3,0.2,1322599448
L1_f2,0.0,0.0,0.0,1322599448
L1_f3,0.0,0.0,0.0,1322599448
H1_f1,0.0,0.0,0.0,1322599448
H1_f2,0.0,0.0,0.0,1322599448
H1_f3,0.0,0.0,0.0,1322599448
L1_f1,0.7,0.4,0.2,1323250623
L1_f2,0.0,0.0,0.0,1323250623
L1_f3,0.0,0.0,0.0,1323250623
H1_f1,0.0,0.0,0.0,1323250623
H1_f2,0.0,0.0,0.0,1323250623
H1_f3,0.0,0.0,0.0,1323250623
L1_f1,4.0,2.0,1.0,1323916877
L1_f2,0.4,0.2,0.1,1323916877
L1_f3,0.0,0.0,0.0,1323916877
H1_f1,2.0,1.0,0.5,1323916877
H1_f2,0.4,0.2,0.1,1323916877
H1_f3,0.0,0.0,0.0,1323916877
L1_f1,0.2,0.1,0.1,1323322935
L1_f2,0.0,0.0,0.0,1323322935
L1_f3,0.0,0.0,0.0,1323322935
H1_f1,0.0,0.0,0.0,1323322935
H1_f2,0.0,0.0,0.0,1323322935
H1_f3,0.0,0.0,0.0,1323322935
L1_f1,0.4,0.2,0.1,1325521354
L1_f2,0.0,0.0,0.0,1325521354
L1_f3,0.0,0.0,0.0,1325521354
H1_f1,0.0,0.0,0.0,1325521354
H1_f2,0.0,0.0,0.0,1325521354
H1_f3,0.0,0.0,0.0,1325521354
L1_f1,0.0,0.0,0.0,1323376913
L1_f2,0.0,0.0,0.0,1323376913
L1_f3,0.0,0.0,0.0,1323376913
H1_f1,0.0,0.0,0.0,1323376913
H1_f2,0.0,0.0,0.0,1323376913
H1_f3,0.0,0.0,0.0,1323376913
L1_f1,0.8,0.4,0.2,1324629151
L1_f2,0.0,0.0,0.0,1324629151
L1_f3,0.0,0.0,0.0,1324629151
H1_f1,0.0,0.0,0.0,1324629151
H1_f2,0.0,0.0,0.0,1324629151
H1_f3,0.0,0.0,0.0,1324629151
L1_f1,0.1,0.0,0.0,1323155455
L1_f2,0.0,0.0,0.0,1323155455
L1_f3,0.0,0.0,0.0,1323155455
H1_f1,0.0,0.0,0.0,1323155455
H1_f2,0.0,0.0,0.0,1323155455
H1_f3,0.0,0.0,0.0,1323155455
L1_f1,0.0,0.0,0.0,1323246066
