ifo_freq,t1,t2,t3,gpstime,filename
L1_f1,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
L1_f2,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
L1_f3,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
H1_f1,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
H1_f2,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
H1_f3,0.0,0.0,0.0,1245336757.1264648,bea234de-10a0-44ee-aa21-8653568ca60c
L1_f1,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
L1_f2,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
L1_f3,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
H1_f1,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
H1_f2,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
H1_f3,0.0,0.0,0.0,1244730784.8168943,53e0ce27-e1d2-4714-99ce-4c6b9d5e3093
L1_f1,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
L1_f2,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
L1_f3,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
H1_f1,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
H1_f2,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
H1_f3,0.0,0.0,0.0,1242522947.7202148,1caf94c3-c840-47f7-8a44-b52c0b25ab59
L1_f1,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
L1_f2,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
L1_f3,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
H1_f1,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
H1_f2,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
H1_f3,0.0,0.0,0.0,1245474053.267578,3d2e810c-97e5-4c4e-8de2-290f79f1609d
L1_f1,0.0,0.0,0.0,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
L1_f2,0.0,0.0,0.0,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
L1_f3,0.0,0.0,0.0,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
H1_f1,16.23,8.37,19.79,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
H1_f2,0.0,0.0,0.0,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
H1_f3,0.0,0.0,0.0,1238329206.6083984,b20e35f1-8e55-4ab7-b912-4afaa3860a3d
L1_f1,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
L1_f2,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
L1_f3,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
H1_f1,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
H1_f2,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
H1_f3,0.0,0.0,0.0,1246006124.4858398,ede5d743-d5a5-4acf-af88-dba575805e76
L1_f1,3.68,1.84,0.92,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
L1_f2,0.03,0.01,0.01,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
L1_f3,0.0,0.0,0.0,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
H1_f1,3.56,5.15,6.97,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
H1_f2,0.11,0.06,0.44,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
H1_f3,0.0,0.0,0.11,1249032981.559082,ba9aeda0-423d-4c66-a7d6-6e99bf82b504
L1_f1,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
L1_f2,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
L1_f3,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
H1_f1,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
H1_f2,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
H1_f3,0.0,0.0,0.0,1252324644.9296875,8b7c529f-12e7-449f-8e7c-9a38ea0bbc56
L1_f1,7.38,3.69,1.84,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
L1_f2,2.28,1.14,0.57,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
L1_f3,0.19,0.1,0.05,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
H1_f1,0.0,0.0,0.0,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
H1_f2,0.0,0.0,0.0,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
H1_f3,0.0,0.0,0.0,1252391157.446289,979cc252-ada9-4e23-9ff9-5d698ea545e8
L1_f1,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
L1_f2,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
L1_f3,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
H1_f1,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
H1_f2,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
H1_f3,0.0,0.0,0.0,1246842792.9677734,e8cf3b14-8e28-41d5-b0a1-e1bf5c8eb6e8
L1_f1,0.19,0.1,0.05,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
L1_f2,0.0,0.0,0.0,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
L1_f3,0.0,0.0,0.0,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
H1_f1,22.76,29.4,15.32,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
H1_f2,1.53,3.12,1.57,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
H1_f3,0.0,0.2,0.1,1249416597.5791016,841361fc-970c-4ccf-8afc-6a3822423041
L1_f1,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
L1_f2,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
L1_f3,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
H1_f1,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
H1_f2,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
H1_f3,0.0,0.0,0.0,1242522947.713379,4574c909-6bf0-412d-be05-7825509b33de
L1_f1,3.66,1.83,2.8,1252686665.3691406,fc0cec48-e49a-41f9-ae17-cf4f1258f78d
L1_f2,0.23,0.12,0.57,1252686665.3691406,fc0cec48-e49a-41f9-ae17-cf4f1258f78d
L1_f3,0.0,0.0,0.13,1252686665.3691406,fc0cec48-e49a-41f9-ae17-cf4f1258f78d
H1_f1,5.93,3.05,1.52,1252686665.3691406,fc0cec48-e49a-41f9-ae17-cf4f1258f78d
H1_f2,0.43,0.24,0.12,1252686665.3691406,fc0cec48-e49a-41f9-ae17-cf4f1258f78d
